model,scenario,region,variable,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,Total,World,"Capacity|Electricity|Coal, w/o CCS",GW,1580.8000000000004,1543.7000000000003,1504.3000000000002,1464.7,1425.2000000000003,1385.7000000000003,1346.2,1306.7,1267.1000000000001,1227.7,1188.1000000000004,1148.6,1109.0,1069.6000000000001,1030.0000000000002,990.5000000000001,950.9000000000001,911.5000000000001,871.9000000000001,832.4000000000001,792.8000000000001,753.4000000000001,713.9000000000002,735.7604175566214,711.5181040390652,672.018104039065,647.5309661471453,655.1888072870295,677.0881314916447,698.1477271004294,712.8301761709056,750.8723840018051,735.9015565262152,708.6424330781997,669.1424330781997,629.5424330781998,590.1424330781997,550.5424330781997,511.04243307819956,471.44243307819966,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997,432.0424330781997
GLUCOSE,Total,World,Capacity|Electricity|Solar|CSP,GW,0.6,0.6,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3,0.3,0.3,0.3,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,,,,40.39999999999994,110.39999999999995,180.39999999999998,250.40000000000003,320.40000000000003,390.4000000000001,460.40000000000003,498.4000000000001,536.5,574.6,631.5,688.4000000000002,745.2000000000002,802.1000000000001,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002
GLUCOSE,Total,World,Capacity|Electricity|Solar|PV,GW,40.00000000000001,70.00000000000001,100.00000000000001,98.4,96.80000000000001,95.20000000000002,93.60000000000001,92.00000000000001,90.4,88.8,87.2,85.60000000000002,84.0,82.4,80.80000000000003,79.2,77.60000000000001,76.0,74.4,72.80000000000001,71.2,69.60000000000001,68.00000000000001,66.4,111.29874007459338,126.49874007459343,206.49874007459343,286.49874007459346,366.49874007459346,446.49874007459357,526.4987400745935,756.4987400745935,986.4987400745932,1216.4987400745933,1446.4987400745933,1676.4987400745933,1906.498740074593,2136.4987400745936,2366.498740074594,2596.498740074594,2826.498740074594,3056.498740074594,3286.4987400745936,3516.498740074594,3746.4987400745945,3837.4011347970722,3917.4011347970727,3997.401134797072,4077.401134797072,4110.902394722479,4122.587236922517
GLUCOSE,Total,World,Capacity|Electricity|Wind,GW,159.20000000000002,152.8,146.4,140.10000000000002,133.70000000000002,127.30000000000001,121.00000000000001,114.60000000000001,108.30000000000001,101.80000000000001,95.50000000000001,89.20000000000002,82.7,76.4,70.0,63.7,137.3,210.90000000000003,284.6000000000001,358.20000000000005,431.80000000000007,505.5000000000001,579.1000000000001,652.8000000000001,768.474081839056,902.1740818390559,1042.1740818390558,1182.174081839056,1322.1740818390556,1462.1740818390563,1602.1740818390556,1742.1740818390563,1882.1740818390563,2022.1740818390563,2162.174081839056,2302.1740818390567,2442.1740818390567,2582.1740818390567,2722.1740818390567,2862.1740818390563,3002.1740818390563,3062.1740818390563,3122.1740818390567,3182.1740818390563,3242.1740818390563,3302.1740818390563,3362.1740818390563,3420.3874743467672,3420.3874743467672,3395.856420691641,3395.856420691641
GLUCOSE,Total,World,Capacity|Electricity|Wind|Offshore,GW,1.0000000000000002,1.0000000000000002,0.9,0.9,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.7000000000000001,0.7000000000000001,0.6,0.6,0.6,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3,0.3,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,42.17408183905586,102.17408183905584,162.17408183905587,222.17408183905587,282.1740818390559,342.1740818390559,402.1740818390559,462.1740818390558,522.1740818390559,582.1740818390562,642.174081839056,702.1740818390562,762.1740818390562,822.1740818390563,882.1740818390563,942.1740818390559,1002.174081839056,1062.174081839056,1122.1740818390558,1182.174081839056,1242.1740818390563,1302.174081839056,1362.1740818390563,1420.3874743467675,1420.3874743467675,1395.8564206916406,1395.8564206916406
GLUCOSE,Total,World,Capacity|Electricity|Wind|Onshore,GW,158.20000000000002,151.8,145.5,139.20000000000002,132.9,126.50000000000001,120.20000000000002,113.90000000000002,107.60000000000001,101.2,94.9,88.60000000000001,82.2,75.9,69.60000000000001,63.300000000000004,136.9,210.60000000000002,284.3,358.0,431.6,505.3000000000001,579.0000000000001,652.7000000000002,726.3000000000001,800.0,880.0,960.0000000000001,1040.0,1120.0000000000002,1200.0,1280.0000000000002,1360.0000000000002,1440.0000000000002,1520.0000000000005,1600.0000000000005,1680.0000000000007,1760.0000000000007,1840.0000000000005,1920.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002
GLUCOSE,Total,World,Carbon Sequestration|CCS,Mt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.21131802378905,-444.2585972464496,-649.9626467254864,-826.9563938911157,-1155.733689714804,-1522.3110925176825,-1841.316569159552
GLUCOSE,Total,World,Carbon Sequestration|CCS|Biomass,Mt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.21131802378905,-444.2585972464496,-649.9626467254864,-826.9563938911157,-1155.733689714804,-1522.3110925176825,-1841.316569159552
GLUCOSE,Total,World,Carbon Sequestration|Direct Air Capture,Mt CO2e/yr,-663.03687,-663.03687,-663.0368700000001,-663.03687,-683.9309984682344,-750.5851107190002,-726.9554777142514,-663.0368700000001,-663.0368700000001,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368699999999,-663.0368699999998,-663.0368700000001,-663.0368699999999,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.0368700000001
GLUCOSE,Total,World,Emissions|CO2|AFOLU,Mt CO2e/yr,4899.566956418312,4922.742519629066,4946.512328050353,4968.95787740343,4964.8992451260665,4929.642902442825,5021.627077080793,5155.8210450388415,5219.234073363954,5276.142545912447,5340.085698012891,5229.640607639072,5122.085957561639,5024.916773356757,4923.4862170290835,4825.399205892111,4735.826460474946,4642.822565635946,4552.1809238516735,4463.296391275315,4382.887746165586,4297.961114074006,4215.315426884116,4139.599796766491,4060.172113523058,3981.800835678882,3905.231575481205,3834.854550485181,3760.648496900913,3687.107876612104,3620.065395595741,3548.3174892636525,3477.751119871773,3407.493339813984,3356.0284389342296,3308.3220607308376,3262.061001611331,3221.21674317034,3177.0980284520065,3133.7497947927454,3091.6789068491485,3091.678906849149,3091.6789068491485,3091.6789068491485,3091.6789068491485,3091.6789068491485,3091.6789068491485,3091.678906849149,3091.6789068491485,3091.678906849149,3091.6789068491485
